Sol,Solar Radiation
221,680.7641866869178
222,679.4334385253483
223,678.0803797993794
224,676.705129858608
225,675.3078100100565
226,673.8885435074739
227,672.4474555404628
228,670.9846732234375
229,669.5003255844114
230,667.9945435536157
231,666.4674599519506
232,664.919209479269
233,663.3499287024962
234,661.7597560435819
235,660.1488317672922
236,658.5172979688359
237,656.8652985613315
238,655.1929792631126
239,653.5004875848745
240,651.7879728166628
241,650.0555860147049
242,648.303479988086
243,646.5318092852697
244,644.7407301804661
245,642.9304006598472
246,641.1009804076112
247,639.2526307918974
248,637.3855148505527
249,635.4997972767492
250,633.5956444044587
251,631.6732241937798
252,629.7327062161228
253,627.7742616392527
254,625.7980632121904
255,623.804285249975
256,621.7931036182886
257,619.7646957179425
258,617.7192404692307
259,615.6569182961465
260,613.5779111104683
261,611.4824022957141
262,609.3705766909649
263,607.242620574561
264,605.098721647671
265,602.9390690177349
266,600.7638531817839
267,598.5732660096367
268,596.3675007269751
269,594.1467518983006
270,591.9112154097726
271,589.6610884519288
272,587.3965695022921
273,585.1178583078643
274,582.8251558675049
275,580.5186644142041
276,578.1985873972422
277,575.8651294642452
278,573.5184964431328
279,571.158895323963
280,568.7865342406743
281,566.4016224527267
282,564.0043703266431
283,561.594989317454
284,559.1736919500454
285,556.7406918004124
286,554.2962034768204
287,551.8404426008753
288,549.3736257885037
289,546.895970630846
290,544.4076956750636
291,541.9090204050606
292,539.4001652221249
293,536.881351425486
294,534.3528011927957
295,531.8147375605301
296,529.2673844043163
297,526.7109664191844
298,524.1457090997482
299,521.5718387203156
300,518.989582314928
301,516.3991676573359
302,513.8008232409061
303,511.1947782584683
304,508.58126258209757
305,505.96050674283856
306,503.3327419103709
307,500.698199872618
308,498.0571130153023
309,495.4097143014467
310,492.7562372508254
311,490.09691591936615
312,487.4319848785048
313,484.76167919449415
314,482.08623440766956
315,479.4058865116723
316,476.7208719326339
317,474.031427508321
318,471.3377904672446
319,468.640198407735
320,465.9388892769839
321,463.2341013500555
322,460.52607320886915
323,457.8150437211546
324,455.10125201938206
325,452.3849374796694
326,449.66633970066664
327,446.94569848242224
328,444.2232538052312
329,441.4992458084658
330,438.7739147693955
331,436.04750108199073
332,433.32024523572005
333,430.59238779433645
334,427.86416937465765
335,425.13583062534246
336,422.4076122056635
337,419.67975476428
338,416.9524989180093
339,414.22608523060484
340,411.5007541915343
341,408.77674619476903
342,406.0543015175778
343,403.3336602993334
344,400.6150625203307
345,397.8987479806179
346,395.18495627884556
347,392.4739267911309
348,389.76589864994475
349,387.06111072301616
350,384.35980159226506
351,381.66220953275547
352,378.9685724916791
353,376.27912806736606
354,373.59411348832765
355,370.91376559233066
356,368.2383208055059
357,365.56801512149536
358,362.9030840806339
359,360.24376274917483
360,357.5902856985534
361,354.9428869846977
362,352.30180012738197
363,349.66725808962906
364,347.03949325716155
365,344.4187374179025
366,341.8052217415319
367,339.1991767590939
368,336.6008323426644
369,334.010417685072
370,331.4281612796845
371,328.8542909002517
372,326.28903358081584
373,323.7326155956838
374,321.18526243946974
375,318.6471988072044
376,316.11864857451405
377,313.59983477787534
378,311.0909795949394
379,308.5923043249365
380,306.1040293691539
381,303.62637421149645
382,301.1595573991247
383,298.70379652317973
384,296.2593081995877
385,293.82630804995455
386,291.40501068254605
387,288.9956296733569
388,286.5983775472734
389,284.2134657593258
390,281.84110467603716
391,279.48150355686727
392,277.1348705357549
393,274.80141260275775
394,272.48133558579605
395,270.1748441324951
396,267.88214169213575
397,265.6034304977078
398,263.3389115480713
399,261.0887845902274
400,258.8532481016993
401,256.63249927302513
402,254.42673399036343
403,252.23614681821618
404,250.06093098226506
405,247.9012783523291
406,245.7573794254391
407,243.62942330903513
408,241.5175977042859
